,month_sin,month_cos,dayofmonth_sin,dayofmonth_cos,dayofweek_sin,dayofweek_cos,hourofday_sin,hourofday_cos,minuteofhour_sin,minuteofhour_cos,is_holiday,Load_mean,Load_std,Load_min,Load_max,Load_median,Load_skew,Load_kurtosis
0,0.08666214949463225,0.5152081398080952,-0.09529484688626866,1.0727295203135991,0.13087425677690945,20.02896989924484,49.28730268154975,-3.077436335038904,0.12832738188785697,0.19044874156338665,0.0,0.0,0.0,0.0,0.0,0.0,-0.9906552711313523,-0.6077121552811775
1,0.05469074276012975,-0.23356308024421857,1.0120617103441296,-0.8935108133194327,1.7469756138253412,7.6683243283765385,-14.686929149029874,-2.688866146127223,0.16123674331796245,0.19417998804039627,0.0,0.0,0.0,0.0,0.0,0.0,-1.5899962273286956,-0.4355692577863426
2,0.0,-0.309514130262702,0.8665581997565983,-1.547476129889347,3.0643872970289383,11.563339049481662,55.22978799492179,3.5149575025381914,-2.4981414209666557,0.22218001969299195,0.0,0.0,0.0,0.0,0.0,0.0,1.083140603206246,1.8680530771842854
3,0.0,0.26239755521940733,0.12315724348792667,-5.316239730382712,0.5426803949717511,-6.4068009018416054,-16.70448401767009,2.9780600497893115,-0.8405705211869172,0.1720775755023496,0.0,0.0,0.0,0.0,0.0,0.0,0.10009483839748512,-2.8520323083605383
4,0.0,1.0729738603306016,0.24500441273699058,0.7177425795609231,0.32925180750268757,7.525935020257264,-11.718479945724036,-4.201712245952955,0.08516623917097954,0.18371517744145827,0.0,0.0,0.0,0.04965020127542452,0.0,0.0,-2.253035003734186,0.05272957652606092
5,0.0,-0.17225625453110283,0.0,-0.18820190911149215,0.16965081637106394,-8.122142565494144,-5.702437266829998,1.988267027757768,0.0,0.2231400312175582,0.0,0.0,0.0,0.0,0.0,0.0,-0.7100322401561803,-0.706219543816637
6,0.05213661516516018,-0.3745832256849206,-0.35912971663762344,0.8141570036318119,0.2741877988287273,6.655009249995023,-6.893725315142808,-1.3314631228299072,0.0,0.18820357451538913,0.0,0.0,-0.07346885523127751,0.09622650804733532,0.06259710472086423,0.0,-1.0154429201924826,2.890118633037951
7,0.03825226423104766,1.8124429591537101,0.14976594369380436,0.9335075309757208,0.1685825447705227,21.668908643367487,54.07076775657474,4.907383348152635,0.1302855121960249,0.21646386395545392,0.0,0.0,0.0,0.0,0.02033230180941814,0.0,1.2986726555301829,0.0
8,0.08720671021731702,0.3218601741479407,0.8750646382766514,0.8502509557526661,3.053421459712656,13.034329549562925,54.47723562755884,3.185214921413309,0.1288344326241899,0.1703483339866376,0.0,0.08456267953191532,0.0,0.0,0.02483279682547111,0.0,1.0136751082630613,2.635200299818436
9,0.0,0.9078855550089646,-0.14933916981989598,-0.9997028493388116,1.1766273664777915,8.78249054922539,-7.623750868967308,-1.655317872355737,0.1913982298312946,0.20606418711565178,0.0,0.0,0.0,0.0,0.0,0.0,-1.3555212963226524,-0.813523010838476
10,0.0,-0.3564955893092356,-0.29167794201738295,0.8938444210426908,1.0900195630864797,9.18583464074332,-7.761961403666023,-1.6558701609316884,0.18013210959898557,0.20282988375881134,0.0,0.0,0.0,0.0,0.0,0.0,-2.422643442841631,-0.8641084860106152
11,0.0,-0.5845817840108087,0.42492182206301976,0.35206810893871854,-5.694329043276502,-33.589998651264516,24.857903442276655,1.8706911037163287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.636318218954024
12,0.0,-0.3286621341527419,0.1325712651681616,-0.9509081863637835,0.5476531653729942,8.329737902632253,-14.807097573829678,1.8880887266001145,0.09297349920518626,0.20035835258979304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668285908798488
13,0.12240995558141288,1.1195674598743557,0.0,0.9935869866870057,0.1138405566219498,5.959482054911941,-16.255097540429865,1.7559923149715333,-2.3237890167007915,0.1518995328989048,0.0,0.0,0.0,0.0,0.0,0.0,-1.1428066039678466,6.861647726989487
14,0.0,1.7166198187178736,0.24760447714825062,0.8841265969581364,0.40773767616898837,21.168194087846263,56.31762612580483,5.743681072606947,0.10584594672857506,-3.3875255415077703,0.0,0.05315769701805095,0.0,0.0,0.0,0.0,-0.37114967786108366,0.25526186411761387
15,0.09236286949545236,-0.2305973891086267,-1.2111822515045658,-0.9075876464010348,1.2499280998737285,8.557576943422202,-10.33893341002622,-0.8492256692311635,0.1933352442657683,0.18237202936147723,0.0,0.0,0.0,0.0,0.0,0.0,-1.3975834118208885,-0.856916184989605
16,-0.875674101209174,0.9707343244776794,1.039555035289012,1.1782684982531382,1.1987230273638811,9.309390396178006,-7.53668347822278,-0.750930864147706,0.1482248025474342,0.2050629574802869,0.0,0.0,0.0,0.0,0.0,0.0,-2.3825888112134708,-0.6958636791824384
17,0.0,-0.40423490368247794,0.0,-0.2886332034291151,-3.747507468137648,-22.526068773291666,21.142256121671714,-5.5739422136754255,-0.1529100414044688,0.0,0.0,0.0,0.0,0.0,-0.13815656764660325,0.0,-0.7023246345040169,-0.2777000886575163
18,0.0,1.0475610302900993,0.0,2.0977773514252496,0.890307724397335,-6.554846530395988,-11.926141233540141,-2.152399895273616,0.0,0.20678407334238624,0.0,0.0,0.0,0.0,0.0,0.0,-0.24629351851652448,-1.3399236553454053
19,0.06514617374963327,0.6853247681828654,0.3058644852262411,0.9056719366080563,0.6638500053454961,5.9635964406197495,-17.780471810144036,-2.975948685451539,0.08278404533721728,0.19775325021705292,0.0,0.0,0.0,0.028701515347393514,0.0,0.0,3.72464232424708,2.206318306766157
