Model,MAE,MAPE,RMSE,Bias
xgb,9.613745110260995,0.08328603685784662,13.80414439719195,4.27362380660169
rf,9.088466259604607,0.07734111160201534,13.507269904390256,2.6228639174999664
rr,19.912031680557725,0.1945592559880255,23.927117973126013,3.2614333176919237
